Que signifie l'acronyme TRACFIN ?,Traitement du renseignement et action contre les circuits financiers clandestins.
"Quelle est la conséquence pour un mandataire immobilier si l'origine des fonds est 'non traçable' (ex: tontine, espèces importantes) ?",Il doit potentiellement effectuer une déclaration de soupçon.
Concept : Blanchiment de capitaux,Action de donner une apparence légitime à des fonds provenant d'activités illégales.
Quelle est la durée de peine de prison minimale pour qu'une infraction 'sous-jacente' entre dans le champ de TRACFIN ?,$1$ an révolu ($> 1$ an).
Dans quelle base de données peut-on retrouver la doctrine de l'AMF relative à TRACFIN ?,La base DOC-2019-18.
Un changement fréquent de _____ au sein d'une société cliente est un indicateur de risque significatif.,gérance
L'opération où l'acquéreur et le vendeur ont un lien manifeste sans justification peut être un signe de _____.,blanchiment (ou montage frauduleux)
Vrai ou Faux : TRACFIN est une cellule de renseignement financier nationale.,Vrai.
"Lors d'une transaction annulée, quelle demande de remboursement est jugée suspecte ?",Une demande de remboursement sur un compte tiers (différent du compte émetteur).
Quel document support est fourni par TRACFIN depuis 2023 pour aider aux déclarations ?,Un document support spécifique pour accompagner les professionnels dans leurs démarches.
Le secret professionnel est-il opposable à TRACFIN par les professionnels assujettis ?,"Non, l'obligation de déclaration prime sur le secret professionnel dans les conditions prévues par la loi."
"En cas d'opération non effectuée avec perte du dépôt de garantie entre deux parties qui se connaissent, quel est le risque ?",Un transfert occulte de fonds (blanchiment).
Quelle ordonnance de 2009 a transféré les dispositions de déclaration à l'article L. 561-15 du CMF ?,L'ordonnance n° 2009-104 du 30 janvier 2009.
Vrai ou Faux : Le notaire peut demander à TRACFIN de ne pas accuser réception de sa déclaration.,Vrai (selon l'Art. 6 bis de la loi du 12 juillet 1990).
Quel critère géographique peut rendre une opération immobilière 'sensible' ?,La localisation dans une zone fortement touristique ou frontalière à risque.
Que vérifie le mandataire concernant la 'cohérence entre le chiffre d'affaires et la marge brute' d'une société ?,S'ils sont conformes à la moyenne du secteur d'activité.
L'approche 'par les risques' impose de graduer la _____ en fonction de la dangerosité estimée du client ou de l'opération.,vigilance
Quel est le rôle du référent TRACFIN au siège d'un réseau comme iad ?,Répondre aux interrogations des conseillers et les accompagner dans l'analyse des situations suspectes.
L'obligation de déclaration TRACFIN s'applique-t-elle aux tentatives d'opérations suspectes ?,"Oui, le soupçon porte sur l'intention et l'origine des fonds, même si l'opération n'aboutit pas."
